"event","experiment time","system time","system time text"
"START",0.000000000E0,1780581674.211,"2026-06-04 16:01:14.211 UTC+02:00"
"PAUSE",3.034821754E1,1780581704.559,"2026-06-04 16:01:44.559 UTC+02:00"
