"Frequency (Hz)","Absolute Amplitude (a.u.)"
2.797851562E2,1.749918295E0
2.812500000E2,3.046521969E-1
2.827148438E2,7.000570357E-1
2.841796875E2,6.852971309E-1
2.856445312E2,4.080993466E-1
2.871093750E2,1.743956017E0
2.885742188E2,1.595123067E0
2.900390625E2,6.648832244E-1
2.915039062E2,9.034429776E-1
2.929687500E2,3.174209989E-1
2.944335938E2,3.328528222E-1
2.958984375E2,8.245567824E-1
2.973632812E2,1.189211843E0
2.988281250E2,1.180853024E0
3.002929688E2,6.014925635E-1
3.017578125E2,7.623040565E-1
3.032226562E2,1.872613160E0
3.046875000E2,1.942053353E0
3.061523438E2,1.673739305E0
3.076171875E2,6.886519422E-1
3.090820312E2,1.409792003E0
3.105468750E2,2.786381417E0
3.120117188E2,1.589562099E0
3.134765625E2,1.481530785E0
3.149414062E2,7.995791017E-1
3.164062500E2,6.934513880E-1
3.178710938E2,1.406138013E0
3.193359375E2,2.191331450E0
3.208007812E2,6.355793379E-1
3.222656250E2,1.873833218E0
3.237304688E2,1.426986103E0
3.251953125E2,1.267782180E0
3.266601562E2,1.415097327E0
3.281250000E2,2.201413419E0
3.295898438E2,1.183289916E0
3.310546875E2,1.657206989E0
3.325195312E2,1.122755467E0
3.339843750E2,2.884736876E-1
3.354492188E2,1.618223885E0
3.369140625E2,6.727144609E-1
3.383789062E2,3.050924003E0
3.398437500E2,1.644359312E0
3.413085938E2,6.781409799E-1
3.427734375E2,1.190931293E0
3.442382812E2,1.883526734E0
3.457031250E2,1.484706007E0
3.471679688E2,2.242058305E0
3.486328125E2,1.666564425E0
3.500976562E2,7.706926363E-1
3.515625000E2,3.565048385E0
3.530273438E2,2.046408248E0
3.544921875E2,1.395827544E0
3.559570312E2,3.781887657E-1
3.574218750E2,1.479192466E0
3.588867188E2,1.367232592E0
3.603515625E2,5.006438965E-1
3.618164062E2,3.257306505E0
3.632812500E2,1.531397618E0
3.647460938E2,3.262606746E0
3.662109375E2,2.124932284E0
3.676757812E2,2.449811673E0
3.691406250E2,2.478343022E0
3.706054688E2,7.822295806E-1
3.720703125E2,2.311770080E-1
3.735351562E2,2.505345247E0
3.750000000E2,2.299486869E0
3.764648438E2,2.461273160E0
3.779296875E2,4.069622657E0
3.793945312E2,2.317697192E0
